Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.01,0.01,0.3473222196243049
75% Corpus,3,0.01,0.21000000000000002,0.33795934120210713
75% Corpus,3,0.01,0.41000000000000003,0.34461223701904614
75% Corpus,3,0.01,0.6100000000000001,0.3429686688856452
75% Corpus,3,0.01,0.81,0.3446122370190461
75% Corpus,3,0.01,symmetric,0.3446122370190461
75% Corpus,3,0.21000000000000002,0.01,0.3557032705088761
75% Corpus,3,0.21000000000000002,0.21000000000000002,0.35570327050887607
75% Corpus,3,0.21000000000000002,0.41000000000000003,0.3446122370190461
75% Corpus,3,0.21000000000000002,0.6100000000000001,0.3446122370190461
75% Corpus,3,0.21000000000000002,0.81,0.34296866888564526
75% Corpus,3,0.21000000000000002,symmetric,0.34296866888564526
75% Corpus,3,0.41000000000000003,0.01,0.3495369347882529
75% Corpus,3,0.41000000000000003,0.21000000000000002,0.3495369347882529
75% Corpus,3,0.41000000000000003,0.41000000000000003,0.3495369347882529
75% Corpus,3,0.41000000000000003,0.6100000000000001,0.33390123773660463
75% Corpus,3,0.41000000000000003,0.81,0.33390123773660463
75% Corpus,3,0.41000000000000003,symmetric,0.3495369347882529
75% Corpus,3,0.6100000000000001,0.01,0.3489877702879875
75% Corpus,3,0.6100000000000001,0.21000000000000002,0.34330336212784
75% Corpus,3,0.6100000000000001,0.41000000000000003,0.34330336212784
75% Corpus,3,0.6100000000000001,0.6100000000000001,0.33601169595348596
75% Corpus,3,0.6100000000000001,0.81,0.33601169595348596
75% Corpus,3,0.6100000000000001,symmetric,0.34330336212784
75% Corpus,3,0.81,0.01,0.3448798181986615
75% Corpus,3,0.81,0.21000000000000002,0.3472545629212469
75% Corpus,3,0.81,0.41000000000000003,0.3349530808533701
75% Corpus,3,0.81,0.6100000000000001,0.3349530808533701
75% Corpus,3,0.81,0.81,0.33601169595348596
75% Corpus,3,0.81,symmetric,0.3349530808533701
75% Corpus,3,symmetric,0.01,0.3540597023754752
75% Corpus,3,symmetric,0.21000000000000002,0.35405970237547524
75% Corpus,3,symmetric,0.41000000000000003,0.35405970237547524
75% Corpus,3,symmetric,0.6100000000000001,0.338424005323827
75% Corpus,3,symmetric,0.81,0.33527832079335274
75% Corpus,3,symmetric,symmetric,0.35405970237547524
75% Corpus,3,asymmetric,0.01,0.3700023587431463
75% Corpus,3,asymmetric,0.21000000000000002,0.374660490571506
75% Corpus,3,asymmetric,0.41000000000000003,0.3652351832922025
75% Corpus,3,asymmetric,0.6100000000000001,0.3771372377973489
75% Corpus,3,asymmetric,0.81,0.3652351832922025
75% Corpus,3,asymmetric,symmetric,0.37567244658054055
75% Corpus,4,0.01,0.01,0.37568592462284567
75% Corpus,4,0.01,0.21000000000000002,0.3756426512084394
75% Corpus,4,0.01,0.41000000000000003,0.37234172867864257
75% Corpus,4,0.01,0.6100000000000001,0.3615866663955223
75% Corpus,4,0.01,0.81,0.3615866663955223
75% Corpus,4,0.01,symmetric,0.37365427208990554
75% Corpus,4,0.21000000000000002,0.01,0.37618314584424695
75% Corpus,4,0.21000000000000002,0.21000000000000002,0.37618314584424695
75% Corpus,4,0.21000000000000002,0.41000000000000003,0.3803152847478838
75% Corpus,4,0.21000000000000002,0.6100000000000001,0.3803152847478838
75% Corpus,4,0.21000000000000002,0.81,0.3832831566663804
75% Corpus,4,0.21000000000000002,symmetric,0.38590287926456945
75% Corpus,4,0.41000000000000003,0.01,0.3773871547402081
75% Corpus,4,0.41000000000000003,0.21000000000000002,0.3773871547402081
75% Corpus,4,0.41000000000000003,0.41000000000000003,0.37702426646395265
75% Corpus,4,0.41000000000000003,0.6100000000000001,0.37702426646395265
75% Corpus,4,0.41000000000000003,0.81,0.37702426646395265
75% Corpus,4,0.41000000000000003,symmetric,0.3773871547402081
75% Corpus,4,0.6100000000000001,0.01,0.38147513723035786
75% Corpus,4,0.6100000000000001,0.21000000000000002,0.3852361478697345
75% Corpus,4,0.6100000000000001,0.41000000000000003,0.38109970425215023
75% Corpus,4,0.6100000000000001,0.6100000000000001,0.3807368159758946
75% Corpus,4,0.6100000000000001,0.81,0.374710719997965
75% Corpus,4,0.6100000000000001,symmetric,0.3852361478697345
75% Corpus,4,0.81,0.01,0.3814751372303579
75% Corpus,4,0.81,0.21000000000000002,0.38147513723035786
75% Corpus,4,0.81,0.41000000000000003,0.3791615907643703
75% Corpus,4,0.81,0.6100000000000001,0.37878615778616265
75% Corpus,4,0.81,0.81,0.3829226014037469
