OBJECTID,description,tags,lat_wgs,lon_wgs,pov_exp,heading,orgid,nid,captions,scene,label
1,,GENERAL,30.519417667399999,114.201244513999995,2.000000000000000,30.000000000000000,10141003150524105621504.000000000000000,10141003150524105323600_right_285.jpg,a sign that is on the ground near a tree;a sign that is on the side of a tree;a sign that is on the side of the road;a sign that is on the side of the street;a sign that is on the ground next to a tree,a white bus driving down a street next to a tree ; a road with a car driving down the road ; a parking lot with a large building in the background ; a sign that is on the ground near a tree,4
2,,GENERAL,30.531543734800000,114.236762432000006,2.000000000000000,282.000000000000000,10141003150524153856000.000000000000000,10141003150524154157100_right_287.jpg,a couple of people that are walking around;two people walking on a sidewalk near a fence;a couple of people that are walking on a sidewalk;a couple of people that are walking in a park;a man walking down a sidewalk next to a tree,a street with cars parked on the side of it ; a view of a city street from the sidewalk ; a frisbee on the ground in front of a building ; a couple of people that are walking around,6
3,雪松路,GENERAL,30.594307882300001,114.260217462000000,2.000000000000000,333.000000000000000,10141050150701095714816.000000000000000,10141050150701095028400_right_155.jpg,a white bus parked on the side of a street;a white bus parked on the side of the road;a white bus parked on the side of a road;a small white bus parked on the side of the road;a small white bus parked on the side of the street,a motorcycle parked on the side of a street ; a group of people walking down a sidewalk ; a person walking on a city street near buildings ; a white bus parked on the side of a street,2
4,,GENERAL,30.629257342800003,114.253876968000000,2.000000000000000,305.000000000000000,10141003150426135068672.000000000000000,10141003150426134956900_right_255.jpg,a street scene with a blue and white street sign;a street scene with a blue and white bus and buildings;a street scene with a couple of cars parked on the side;a street scene with a couple of cars parked on the street;a street scene with a couple of cars parked on the side of the road,a red truck parked on the side of the road ; a group of cars parked on a city street ; two buses parked on the side of the road ; a street scene with a blue and white street sign,6
5,江国路,GENERAL,30.502954629700000,114.278915439000002,2.000000000000000,296.000000000000000,10141003150306150711296.000000000000000,10141003150306150200600_right_227.jpg,a blue truck parked in front of a building;a blue truck parked in front of a tall building;a truck parked in front of a building;a large blue truck parked in front of a building;a blue truck parked in front of a house,a group of trucks parked on the side of a road ; a semi truck parked on the side of the road ; a blue truck parked in a parking lot ; a blue truck parked in front of a building,6
6,二七路,GENERAL,30.628989736299999,114.290305615999998,2.000000000000000,185.000000000000000,10141003150612165033984.000000000000000,10141003150612164517900_right_155.jpg,a sign on the side of a city street;a sign that is in the middle of the street;a sign that is in the middle of a street;a sign on the side of a road in a city;a sign on the side of a road in a large city,a view of a street from the side of a road ; a view of a street from inside a train ; a view through a window of a large building ; a sign on the side of a city street,5
7,江达路,GENERAL,30.621410098700000,114.226714967999996,2.000000000000000,233.000000000000000,10141017151004129361920.000000000000000,10141017151004130139500_right_327.jpg,a couple of cars parked on a city street;a couple of cars parked in front of a building;a couple of cars parked on the side of a street;a couple of cars parked on the side of a road;a couple of cars parked on the side of the street,a view of a street with cars and motorcycles ; a red car driving down a city street ; a young girl is walking down the sidewalk ; a couple of cars parked on a city street,1
8,Ｇ１０７,GENERAL,30.587371236300001,114.214444667999999,2.000000000000000,202.000000000000000,10141003150629164548096.000000000000000,10141003150629164118400_right_81.jpg,a street with cars and buildings in the background;a street with cars and people walking on it;a busy intersection with cars and people crossing the street;a city street with cars and people walking under a bridge;a city street with cars and people walking on the street,a bus driving down a street next to tall buildings ; cars are driving on a busy city street ; a bus driving down a street next to tall buildings ; a street with cars and buildings in the background,4
9,洲头五路,GENERAL,30.519814749300000,114.248921679999995,2.000000000000000,292.000000000000000,10141019121209101516800.000000000000000,10141019121209102259900_right_53.jpg,a truck parked in the dirt near a building;a truck parked in the middle of a street;a truck parked in the middle of a city;a truck parked in the middle of a dirt field;a truck parked in the dirt in front of a building,a truck parked on the side of the road ; two trucks are parked on the side of the street ; a street corner with a building in the background ; a truck parked in the dirt near a building,6
10,兴业路,GENERAL,30.637952556199998,114.284952554000000,2.000000000000000,63.000000000000000,10141050150531153002496.000000000000000,10141050150531152034200_right_159.jpg,a blue and white building and a tree;a blue and white building and some trees;a blue and white building and some bushes and trees;a blue and white building and some trees and bushes;a blue and white building and a tree and bushes,a group of cars driving down a street ; a car driving down a city street with tall buildings ; a street with lots of different colored flowers in it ; a blue and white building and a tree,9
11,拦江路,GENERAL,30.546745975699999,114.265775923999996,2.000000000000000,205.000000000000000,10141003150323152322560.000000000000000,10141003150323152423100_right_342.jpg,a group of people standing in front of a store;a group of people standing outside of a store;a group of people standing in front of a building;a group of people standing next to each other;a group of people standing on a sidewalk next to a tree,a city street with buildings on each side ; a white car driving down a city street ; a city street filled with lots of tall buildings ; a group of people standing in front of a store,8
