OBJECTID,description,tags,lat_wgs,lon_wgs,pov_exp,heading,orgid,nid,captions,scene,label
1,,GENERAL,30.598440741400001,114.237503633000003,2.000000000000000,116.000000000000000,10141019131230151507968.000000000000000,10141019131230150659800_right_199.jpg,a parking lot with a tree next to it;a parking lot with a tree and a fence;a parking lot with a tree next to a fence;a street scene with focus on a tree and fence;a parking lot with a tree next to it and a fence,a wet sidewalk with a bridge in the background ; a wet sidewalk with a street sign on it ; a parking lot with a tree next to it ; a parking lot with a tree next to it,6
2,建国路,GENERAL,30.573451073899999,114.246705027000004,2.000000000000000,353.000000000000000,10141022121203110772736.000000000000000,10141022121203111322500_right_266.jpg,a window with curtains in a room;there is a bed with a canopy over it;a window with curtains over it in a room;a window with curtains over it in a building;a window with curtains in a room with some curtains,a group of people walking under a canopy ; a narrow alley with a row of buildings ; a couple of people walking down a narrow street ; a group of people walking down a sidewalk ; a canopy bed with a canopy over it ; a red door next to a red door ; there is a red door and a red door ; a window with curtains in a room,-1
3,,GENERAL,30.567087387600001,114.344390110999996,2.000000000000000,313.000000000000000,10141003150428163014656.000000000000000,10141003150428163309800_right_16.jpg,a palm tree in front of a white building;a palm tree next to a white building;a palm tree in front of a white house;a palm tree next to a white house;a palm tree in front of a home,a city street with a large building in the background ; a city street with tall buildings on each side ; a large building with a red white and blue fire hydrant ; a palm tree in front of a white building,6
4,青岛路,GENERAL,30.584029394600002,114.292908401000005,2.000000000000000,272.000000000000000,10141035140613102632960.000000000000000,10141035140613101805100_right_47.jpg,a car parked in front of a building;a white car parked in front of a building;a car parked in front of a store front;a car parked in front of a building next to a pole;a car parked in front of a building next to a street,a city street filled with traffic surrounded by tall buildings ; a group of cars driving down a city street ; a white car parked in front of a building ; a car parked in front of a building,8
5,麒麟路,GENERAL,30.559394433900000,114.221954939000000,2.000000000000000,353.000000000000000,10141050150510122762240.000000000000000,10141050150510122438300_right_292.jpg,a car driving down a street past a bus;a car is parked on the side of the street;a car parked on the side of the road;a car driving down a city street next to a bus;a car is parked on the side of the road,a public transit bus on a city street ; cars parked on the side of the street ; a group of people walking down a sidewalk ; a car driving down a street past a bus,4
6,江大路,GENERAL,30.620698925399999,114.284565455000006,2.000000000000000,338.000000000000000,10141058150822112657408.000000000000000,10141058150822113116600_right_153.jpg,a car parked on the side of the street;a car parked next to a tall building;a car parked on the side of the road;a car parked on the side of a street;a car parked in front of a building on a city street,a group of people riding bikes down a street ; a car parked on the side of the road ; a group of people walking down a sidewalk ; a car parked on the side of the street,2
7,Ｇ３１８,GENERAL,30.549079372800001,114.196996505000001,2.000000000000000,214.000000000000000,10141058150713134153728.000000000000000,10141058150713134343200_right_326.jpg,a couple of large buildings in a city;a couple of large buildings in the city;a couple of large buildings in the background;a couple of large buildings in the middle of a city;a couple of large buildings in the middle of the city,a city street with tall buildings in the background ; a red truck parked next to a building ; a semi truck parked in a parking lot ; a couple of large buildings in a city,6
8,满春路,GENERAL,30.574805803299999,114.276137652000003,2.000000000000000,225.000000000000000,10141050150712095277056.000000000000000,10141050150712094631200_right_244.jpg,a building that has a sign that says UNK;a building that has a sign that says no dogs;a store front with a sign that says UNK UNK;a store front with a sign that reads UNK UNK;a store front with a sign that says UNK UNK UNK,a group of cars parked on the side of a street ; a city street filled with traffic next to tall buildings ; several cars parked in front of a store ; a building that has a sign that says UNK,6
9,,GENERAL,30.580957762099999,114.250664547000000,2.000000000000000,339.000000000000000,10141050150801119379456.000000000000000,10141050150801120017600_right_58.jpg,a view of a store front with a window;a view of a store front with a large window;a store front window with a red light in front of it;a store front window with a red light in the window;a view of a store front with a red light in the window,a bus driving down a street next to tall buildings ; a building with a sign on the outside of it ; a couple of cars parked in front of a building ; a city street with tall buildings and bicycles ; a bus driving down a street next to tall buildings ; a view of a subway train platform through a window ; a row of bicycles in front of a building ; a view of a store front with a window,4
10,,GENERAL,30.537764532000001,114.327284500000005,2.000000000000000,116.000000000000000,10141003150322093260800.000000000000000,10141003150322093113300_right_11.jpg,a large building next to a street light;a large building with a ball in front of it;a large building with a ball in the middle;a large building with a ball in the middle of it;a large building with a ball in the middle of the street,an empty street surrounded by tall buildings ; a white van driving down a street next to tall buildings ; a large building with many windows on the side ; a large building next to a street light,0
