2017_QaaYYfRlebQqz0owXcWE1A,0.34273723,0.027314782,0.02191472,0.33207572,0.01826197,0.038921237,0.14357907,0.020447373,0.16469592,0.07618317,301,2017_QaaYYfRlebQqz0owXcWE1A_0.jpg,1.33,103.67,a view of a road through a window;a view of the road from the side of the road;a view of a road from the side;a view of a road from the side of the road;a view of the road from the side of a road
2017_Vxiu6zwmbmS_7hhnA1XcOg,0.6204714,0.027887821,0.019305885,0.09776917,0.009133756,0.015589297,0.1298008,0.011044383,0.054281265,0.026611596,101,2017_Vxiu6zwmbmS_7hhnA1XcOg_0.jpg,1.045,103.94,a large green plant with lots of green leaves;a large green plant with lots of leaves;a green plant that is growing in a garden;a green plant that is growing in the tree;a green plant that is in the middle of the ground
2017_GpFKbvoKvz_PsOm94UUuhQ,0.3415931,0.026176661,0.018258393,0.29017514,0.015428215,0.03227231,0.16255113,0.017104775,0.1416749,0.06637746,301,2017_GpFKbvoKvz_PsOm94UUuhQ_0.jpg,1.43,103.715,a view of a road from a car window;a view of a road from a car;the view of a road from a car window;the view of a road from the side of a road;the view of a road from the side of the road
2017_KCM0-R-ktYGMu_KXMsbOaQ,0.4842349,0.03841579,0.02540031,0.10017198,0.012231052,0.021854013,0.10427779,0.013506323,0.095791996,0.028114468,101,2017_KCM0-R-ktYGMu_KXMsbOaQ_0.jpg,1.37,103.955,a view of a city street from a building;a view of a city street with cars parked on the side;a view of a city street from the side of the street;a view of a street from the side of the street;a view of a city street from the side of the road
2017_q_wO0Bgp9jBcYzBf1U7J0A,0.4665737,0.03349772,0.02231118,0.19521675,0.014085472,0.031155199,0.09548971,0.016471595,0.12060639,0.043918878,101,2017_q_wO0Bgp9jBcYzBf1U7J0A_0.jpg,1.335,103.82,cars are driving down a highway with clouds in the sky;cars are driving on a road with clouds in the sky;cars are driving down a highway with clouds overhead;cars are driving on a road with a cloudy sky;cars are driving on a highway near a cloudy sky
2017_xWbJMSc_C-y9PI_SzllRBQ,0.35060793,0.024389744,0.019037515,0.22220099,0.012461215,0.025877208,0.16656348,0.01347518,0.13907692,0.044914424,301,2017_xWbJMSc_C-y9PI_SzllRBQ_0.jpg,1.475,103.87,a view of a street from a car window;a view of a city street with houses in the background;a view of a city street from a distance;a view of a city street with houses and clouds;a view of a city street with houses and a cloudy sky
2017_Qooz2IQAvg9yfLXr9oPV3g,0.38382488,0.024246007,0.017972827,0.27305886,0.013932914,0.028756648,0.14838228,0.015459657,0.14119267,0.055752426,301,2017_Qooz2IQAvg9yfLXr9oPV3g_0.jpg,1.495,103.4,a dirt road between houses and a house;a dirt road between houses and a car;a dirt road between houses and a row of houses;a small dirt road with a few flags on it;a dirt road between houses and a row of buildings
2017_0hREsnb-kgs8s64oHabPOw,0.36158586,0.024990618,0.01565364,0.26419947,0.013064206,0.026477754,0.17738503,0.014835209,0.12116209,0.055600822,301,2017_0hREsnb-kgs8s64oHabPOw_0.jpg,1.495,103.94,a long road with a long line of trees;a long road with a long line of trees on it;a long road with a few trees on each side;a long empty road with a long line of trees;a long road with a long line of trees on each side
2017_aoTGVHbFn6EyFpTwbQ6XBg,0.52432555,0.023399055,0.016214997,0.15021482,0.009607613,0.01826948,0.11467767,0.011314452,0.09151736,0.029396176,101,2017_aoTGVHbFn6EyFpTwbQ6XBg_0.jpg,1.48,103.865,an empty street with houses on both sides;a empty street with houses on the side;a view of a street from the side of a road;a view of a street from the side of the road;a view of a street from the side of a street
2017_Iuh0ocPD40T1QYZCl96trg,0.51889837,0.02377513,0.018240958,0.19640881,0.011219054,0.02234739,0.11146408,0.01345405,0.11073387,0.038018882,101,2017_Iuh0ocPD40T1QYZCl96trg_0.jpg,1.475,103.955,a long narrow street with houses on both sides;an empty street with a building in the background;a long narrow road with houses on both sides;a long narrow street with houses on each side;an empty street with a building in the back
