2017_g85SqOH9HQKGtuWb66FHyA,0.33654132,0.02873367,0.020137012,0.2528267,0.013616234,0.027030706,0.18817419,0.009713948,0.09894496,0.046076417,301,2017_g85SqOH9HQKGtuWb66FHyA_0.jpg,1.48,,a wooden structure sitting on the side of a road;a dirt path leading to a building;a wooden structure sitting on the side of a dirt road;a wooden structure sitting on the side of a hill;a wooden structure sitting on a dirt road
2017_nGpxE7uBmN3mXcMoVhYl2g,0.31009635,0.029788107,0.023070335,0.27203953,0.013927817,0.029914409,0.23366046,0.011718452,0.0901109,0.056479156,301,2017_nGpxE7uBmN3mXcMoVhYl2g_0.jpg,1.47,103.73,a road that has some trees on it;a road with trees on both sides of it;a road with trees on both sides of the road;a road with trees on each side and grass on the side;a road with trees on both sides of the street
2017_2bAOZjw2-aRwhGbYq1Q7rg,0.62893736,0.028929353,0.019441485,0.073607236,0.008140832,0.016785651,0.106508106,0.008953273,0.05209118,0.019220352,101,2017_2bAOZjw2-aRwhGbYq1Q7rg_0.jpg,1.4,103.87,a car parked on the side of the road;a car parked on the side of a road;a car parked on the side of the street;a car parked on the side of a street;a car driving down a street next to a house
2017_tQcgvcaNSjPLOKaK1F3qGg,0.498547,0.05114886,0.026285946,0.15901461,0.02129805,0.040364355,0.1002166,0.015214354,0.16313839,0.039870232,101,2017_tQcgvcaNSjPLOKaK1F3qGg_0.jpg,1.33,103.85,a car driving down a street next to tall buildings;a car driving down a street next to houses;a car driving down a street next to a tall building;a car driving down a street next to trees;a car driving down a road next to a building
2017_LoXus_3Z8yjF0WOXoIFcJA,0.64189917,0.030519336,0.026015818,0.05660653,0.007394642,0.01566729,0.13391465,0.010358155,0.040780246,0.018824607,101,2017_LoXus_3Z8yjF0WOXoIFcJA_0.jpg,1.38,103.83,a view of a street lined with palm trees;a street with palm trees and a building;a view of a street lined with palm trees and buildings;a view of a street with palm trees in the background;a view of a street with palm trees and palm trees
2017_1S8iN5usqig4OH9Gydxcww,0.4951189,0.037199855,0.02057153,0.15634388,0.015369177,0.03152144,0.106076986,0.011006027,0.12474632,0.03416705,101,2017_1S8iN5usqig4OH9Gydxcww_0.jpg,1.31,103.87,a blue airplane parked on the tarmac at an airport;two airplanes parked on the tarmac of an airport;a blue airplane that is sitting on a runway;a blue airplane is sitting on the tarmac;a blue airplane that is sitting on a tarmac
2017_ZR0_nGlbevt4Sew9QEvXbA,0.30211598,0.032501668,0.02142036,0.28291702,0.016411543,0.031746328,0.17787161,0.011264831,0.13125572,0.053783268,301,2017_ZR0_nGlbevt4Sew9QEvXbA_0.jpg,1.34,103.97,a long road with some trees on each side;a long road with some trees and some grass;a long road with a very long line of trees;a long road with a very long road and some trees;a long road with a very long line of trees on each side
2017_uUnYrLrTiaso7NabqxaSxA,0.4236464,0.024911523,0.017418057,0.17046767,0.010592788,0.020535082,0.1480116,0.008056521,0.113575906,0.033352137,101,2017_uUnYrLrTiaso7NabqxaSxA_0.jpg,1.48,103.69,an empty street with a building in the background;a empty street with a large building in the background;a view of a city street with a cloudy sky;a view of a city street with clouds overhead;a view of a city street with a cloudy sky and clouds
2017_GfUTdts-2i2s-52z3OZOhA,0.5278624,0.072315454,0.04084295,0.1396755,0.033456147,0.048079252,0.09246972,0.022756398,0.18597606,0.043986738,101,2017_GfUTdts-2i2s-52z3OZOhA_0.jpg,1.42,103.91,several cars are parked in a parking lot;a group of cars parked in a parking lot;several cars parked in a parking lot near a forest;several cars parked in a parking lot with trees in the background;a group of cars parked in a parking lot by some trees
2017_WyI_vZJL-0IMs99uroNIVQ,0.50014013,0.024716675,0.014165789,0.1356822,0.009690762,0.01992312,0.130288,0.007799923,0.0873687,0.02804935,101,2017_WyI_vZJL-0IMs99uroNIVQ_0.jpg,1.32,103.85,a long road with cars driving down it;a car driving down a road next to trees;a road that has some trees on it;a car driving down a street next to a forest;a road with a car parked on the side
